lastname,firstname,residentID,programID,name
Moreno,Elianna,78251169,PDT,Pediatrics
Mahoney,Cheyenne,54788937,IMD,Internal Medicine
Blackburn,Noah,63439813,MGG,Medical Genetics and Genomics
Stein,Paris,84804864,IMD,Internal Medicine
Villalobos,Louie,84280596,FMD,Family Medicine
Barry,Shiloh,59638685,OBG,Obstetrics and Gynecology
Quinn,Finnegan,82314491,DRA,Diagnostic Radiology
Hall,Grayson,89261377,FMD,Family Medicine
Alfaro,Mohamed,12320937,FMD,Family Medicine
Holland,Milani,14549188,GSU,General Surgery
Arroyo,Hallie,79561888,FMD,Family Medicine
Weaver,Talia,64357365,MMI,Medical Microbiology
Wilcox,Landyn,64095220,FMD,Family Medicine
Walsh,Rio,13631734,GSU,General Surgery
Finley,Reign,42468001,IMD,Internal Medicine
Ventura,Paxton,58590036,FMD,Family Medicine
Ayala,Lucy,12714223,FMD,Family Medicine
Andrews,Anaya,96339345,IMD,Internal Medicine
Lindsey,Parker,19005715,FMD,Family Medicine
Wright,Nathalie,66716622,FMD,Family Medicine
Hill,Landon,10748049,IMD,Internal Medicine
King,Talon,29491700,ORS,Orthopedic Surgery
Palacios,Valeria,30015996,IMD,Internal Medicine
Khan,Kenia,41419329,IMD,Internal Medicine
Calderon,Ahmad,88475000,FMD,Family Medicine
McCoy,Gerardo,28836231,FMD,Family Medicine
Burke,Zaire,19530089,EMD,Emergency Medicine
Henry,Noah,17432923,FMD,Family Medicine
Lindsey,Lucia,82183349,FMD,Family Medicine
Castaneda,Neil,30540164,FMD,Family Medicine
Bentley,Rey,73139260,PDT,Pediatrics
McKenzie,Kira,54526754,ANT,Anesthesiology
Luna,Emilio,58983403,FMD,Family Medicine
Brooks,Phoenix,73401363,FMD,Family Medicine
Espinosa,Asa,54657847,GSU,General Surgery
May,Enzo,93717985,IMD,Internal Medicine
Clark,Jaliyah,94766559,PDT,Pediatrics
Wilkinson,Clara,18743653,IMD,Internal Medicine
Flores,Cruz,87295311,IMD,Internal Medicine
Aguirre,Jax,51774314,FMD,Family Medicine
Sheppard,Francisco,55051211,FMD,Family Medicine
Marshall,Jordan,46793295,IMD,Internal Medicine
Hughes,Joshua,99353959,FMD,Family Medicine
Farrell,Edison,83756140,IMD,Internal Medicine
Flores,Denise,53609386,PDT,Pediatrics
James,Harlow,22938052,DMT,Dermatology
Cantu,Edgar,58852126,FMD,Family Medicine
Montgomery,Elsa,37356199,FMD,Family Medicine
Bradley,Manuel,73794759,PSY,Psychiatry
Stanley,Scarlett,25297187,DRA,Diagnostic Radiology
Grimes,Ellianna,12976228,DMT,Dermatology
Novak,Santiago,62784279,PMR,Physical Medicine & Rehabilitation
Avalos,Bailee,90179023,FMD,Family Medicine
Terry,Jayceon,41288409,IMD,Internal Medicine
Escobar,Mallory,16252993,FMD,Family Medicine
Harper,Zev,52560795,PSY,Psychiatry
Shepherd,Jedidiah,74187950,IMD,Internal Medicine
Raymond,Azariah,56755105,FMD,Family Medicine
Barrera,Kolton,27656549,FMD,Family Medicine
Cross,Leona,66061111,ORS,Orthopedic Surgery
Phillips,Charleigh,19005935,FMD,Family Medicine
Goodman,Isaac,13238276,FMD,Family Medicine
Snyder,Prince,74581158,OPH,Ophthalmology
Weeks,Paul,79430761,MGG,Medical Genetics and Genomics
Olsen,Malaya,77857916,FMD,Family Medicine
Lozano,Atticus,96863512,IMD,Internal Medicine
